case_id,true_scenario,evidence_abi_boundary,evidence_concurrency,evidence_drop_phase,pred_step1_only,pred_step1_step2,pred_step1_step3,pred_full,evidence_notes
examples__c-in-rust-doublefree,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__c-in-rust-memleak,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__c-in-rust-uaf,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__cstring-test,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__ffi-simplest,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__function-pointer-test,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__mix-box-free,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__mix-mem-allocator,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__rc-test,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__return-value-test,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__rust-in-c-uaf,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__rust-uaf-df,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__side-effects-test,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__string-test,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
examples__vec-test,S3,1,0,0,S3,S3,S3,S3,ffi_or_cross_lang_interface
tests__safe-bugs__division-by-zero,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__safe-bugs__incorrect-boundary-check,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__safe-bugs__incorrect-cast,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__safe-bugs__integer-overflow,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__safe-bugs__out-of-bound-index,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__safe-bugs__unreachable,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__alloc-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__annotation,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__arith,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__array,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__assignment,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__big-loop,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__cast,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__crate-bin-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
tests__unit-tests__crate-lib-test,S2,0,0,0,S2,S2,S2,S2,default_single_thread_resource_state_path
