"样例编号","样例文件名","触发位置边界证据","资源所处状态证据","隔离跨越度证据_FFI_ABI边界","隔离跨越度证据_线程或任务边界","隔离跨越度证据_安全封装边界","表层后果证据","证据来源"
"EX001","examples__c-in-rust-doublefree","跨语言调用链","已初始化|共享持有","是","否","是","Double Free","MIR"
"EX002","examples__c-in-rust-memleak","跨语言调用链","已初始化|共享持有","是","否","是","资源泄漏","MIR"
"EX003","examples__c-in-rust-uaf","跨语言调用链","已初始化|共享持有","是","否","是","Use-After-Free","代码片段"
"EX004","examples__cstring-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","代码片段"
"EX005","examples__ffi-simplest","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","接口签名"
"EX006","examples__function-pointer-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","代码片段"
"EX007","examples__mix-box-free","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","AST"
"EX008","examples__mix-mem-allocator","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","接口签名"
"EX009","examples__rc-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","MIR"
"EX010","examples__return-value-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","代码片段"
"EX011","examples__rust-in-c-uaf","跨语言调用链","已初始化|共享持有","是","否","是","Use-After-Free","日志"
"EX012","examples__rust-uaf-df","跨语言调用链","已初始化|共享持有","是","否","是","Double Free","接口签名"
"EX013","examples__side-effects-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","接口签名"
"EX014","examples__string-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","MIR"
"EX015","examples__vec-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","AST"
"EX016","tests__safe-bugs__division-by-zero","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX017","tests__safe-bugs__incorrect-boundary-check","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX018","tests__safe-bugs__incorrect-cast","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX019","tests__safe-bugs__integer-overflow","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX020","tests__safe-bugs__out-of-bound-index","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX021","tests__safe-bugs__unreachable","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX022","tests__unit-tests__alloc-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX023","tests__unit-tests__annotation","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX024","tests__unit-tests__arith","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
